Iter	hps	sum	rrse	rrae	corr	smape	valid rse	valid r2	valid mase	valid smape	valid mape	valid mse	valid mae	valid rmse	valid rae	valid hist_rse	valid global_rse	valid corr	test rse	test r2	test mase	test smape	test mape	test mse	test mae	test rmse	test rae	test hist_rse	test global_rse	test corr	best_epoch
33	[2, 0.0005, 8, 8, 32, 64, 9, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.4934899	1.4934899	1.4635888	0.54315007	0.025115183	1.4934899	-1.9259187	0.426105	0.025115183	0.049375255	0.065879926	0.17902154	0.224560	1.4635888	0.217599	2.005938	0.54315007	1.5815575	-2.726069	0.507781	0.026146494	0.05215263	0.07992288	0.2003293	0.260695	1.6130022	0.267661	1.865536	0.4358655	42
34	[1, 0.0005, 8, 8, 32, 32, 20, 0.5, 1, 30, 0.2, 0.1, 3, True]	1.4922626	1.4922626	1.4784925	0.554834	0.024902487	1.4922626	-2.0491126	0.427470	0.024902487	0.049366176	0.06654027	0.18001533	0.226172	1.4784925	0.218737	2.015966	0.554834	1.5984987	-2.9142752	0.509747	0.026239358	0.052353904	0.079338096	0.20004581	0.260016	1.6315032	0.268691	1.858698	0.43624985	28
35	[2, 0.0005, 8, 8, 32, 64, 5, 0.6, 1, 64, 0.05, 1, 3, True]	1.4957123	1.4957123	1.4756265	0.35114178	0.028237754	1.4957123	-2.1045904	0.432126	0.028237754	0.050191	0.069645986	0.18206526	0.228902	1.4756265	0.220478	2.062476	0.35114178	1.6212288	-2.1178658	0.593165	0.030145157	0.05832433	0.12083173	0.23753124	0.310522	1.6353042	0.315886	2.293816	0.16930114	4
36	[1, 0.0003, 8, 8, 24, 32, 15, 0.5, 1, 10, 0.2, 3, 3, True]	1.4448113	1.4448113	1.4508387	0.43177298	0.028289841	1.4448113	-1.987934	0.430815	0.028289841	0.050076425	0.063992776	0.18073967	0.223485	1.4508387	0.215898	1.976999	0.43177298	1.5254332	-1.9164497	0.559324	0.028477894	0.055186696	0.0980251	0.22079083	0.282338	1.5527018	0.289808	2.066030	0.35235447	7
37	[1, 0.0003, 12, 12, 24, 32, 15, 0.5, 1, 10, 0.05, 3, 2, True]	1.4969323	1.4969323	1.4818738	0.5374612	0.025434773	1.4969323	-1.9501128	0.427282	0.025434773	0.04977219	0.068160914	0.18064539	0.226038	1.4818738	0.217364	2.040368	0.5374612	1.5593734	-2.6702597	0.502591	0.02606625	0.052028794	0.07682648	0.19737364	0.256409	1.5931551	0.264669	1.829041	0.4487023	43
38	[1, 0.0003, 8, 8, 24, 32, 15, 0.6, 1, 40, 0.1, 3, 3, True]	1.5034053	1.5034053	1.4875718	0.5444184	0.025014503	1.5034053	-1.9620125	0.424472	0.025014503	0.049471464	0.068342134	0.17981105	0.225334	1.4875718	0.215779	2.043079	0.5444184	1.5709293	-2.721167	0.507345	0.026213262	0.052418772	0.07837858	0.19975118	0.258417	1.6121236	0.267043	1.847425	0.4382543	58
39	[1, 0.0003, 12, 12, 24, 32, 15, 0.4, 1, 10, 0.2, 3, 2, True]	1.4919971	1.4919971	1.4671655	0.5412425	0.025019644	1.4919971	-1.947171	0.422968	0.025019644	0.04925038	0.06666282	0.17780954	0.224000	1.4671655	0.216578	2.017821	0.5412425	1.5755488	-2.6539133	0.508855	0.0262545	0.05230307	0.07943498	0.20055494	0.261225	1.6022627	0.270053	1.859833	0.4193624	30
40	[1, 0.0003, 8, 8, 24, 32, 15, 0.5, 1, 10, 0.1, 3, 2, True]	1.508219	1.508219	1.4884156	0.43868828	0.028861485	1.508219	-2.4106088	0.436731	0.028861485	0.05081286	0.06861906	0.18504162	0.230686	1.4884156	0.221459	2.047214	0.43868828	1.5979043	-2.2276528	0.570288	0.029192979	0.056595527	0.104913145	0.22628154	0.293479	1.6061325	0.299200	2.137386	0.35119548	8
41	[1, 0.0008, 8, 8, 24, 32, 15, 0.5, 1, 10, 0.2, 3, 3, True]	1.4957423	1.4957423	1.4934639	0.342327	0.02890562	1.4957423	-2.0648036	0.421052	0.02890562	0.048989706	0.06361558	0.17719094	0.221575	1.4934639	0.214309	1.971163	0.342327	1.6054746	-2.1154447	0.589742	0.02987749	0.05792061	0.11369675	0.2344049	0.303028	1.6209457	0.308677	2.225062	0.2186721	3
42	[1, 0.0003, 8, 8, 16, 48, 5, 0.5, 1, 30, 0.2, 0.1, 3, True]	1.5326549	1.5326549	1.5210103	0.55572957	0.02516241	1.5326549	-2.1115072	0.428936	0.02516241	0.049808323	0.0654992	0.18033876	0.224947	1.5210103	0.218007	2.000133	0.55572957	1.6199172	-3.0902243	0.508277	0.025939852	0.051840495	0.080686994	0.20190464	0.261649	1.6541597	0.265660	1.874433	0.4348519	101
43	[2, 0.0005, 8, 8, 32, 32, 5, 0.5, 1, 64, 0.2, 1, 3, True]	1.5175732	1.5175732	1.502324	0.5226268	0.025470825	1.5175732	-2.2561917	0.435988	0.025470825	0.050351422	0.070073105	0.18385158	0.231247	1.502324	0.223118	2.068791	0.5226268	1.595461	-2.7895243	0.516134	0.02646705	0.052760497	0.08054328	0.20288989	0.263025	1.6280293	0.270563	1.872762	0.4187929	43
44	[2, 0.0005, 8, 8, 16, 64, 9, 0.6, 1, 20, 0.2, 3, 3, True]	1.5019845	1.5019845	1.5208089	0.48053578	0.028104348	1.5019845	-2.2103834	0.430545	0.028104348	0.049976543	0.06401353	0.18044534	0.223250	1.5208089	0.216469	1.977319	0.48053578	1.5486398	-2.1844296	0.546489	0.027774928	0.05412597	0.091277815	0.21618326	0.276339	1.5837034	0.282298	1.993658	0.40526104	4
45	[1, 0.0005, 8, 8, 24, 64, 15, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.4748051	1.4748051	1.4695226	0.38291162	0.028528485	1.4748051	-2.0808504	0.427118	0.028528485	0.049649436	0.06447862	0.17925897	0.223260	1.4695226	0.216050	1.984489	0.38291162	1.5435737	-1.9768795	0.564456	0.028850209	0.05587901	0.099928536	0.2236898	0.285253	1.5641214	0.291320	2.085993	0.32991144	3
46	[2, 0.0008, 12, 12, 32, 48, 5, 0.5, 1, 10, 0.05, 3, 3, True]	1.4830428	1.4830428	1.459785	0.5291671	0.025540086	1.4830428	-2.0197322	0.428725	0.025540086	0.049691867	0.06932843	0.18147683	0.228518	1.459785	0.219344	2.057769	0.5291671	1.5718173	-2.7594712	0.508524	0.026477346	0.052757684	0.078192465	0.19956642	0.258529	1.6032252	0.267423	1.845230	0.44340754	12
47	[2, 0.0003, 8, 16, 16, 64, 20, 0.5, 1, 40, 0.2, 0.1, 2, True]	1.4682144	1.4682144	1.4458709	0.52121866	0.025237864	1.4682144	-1.9463435	0.424579	0.025237864	0.04959323	0.07517461	0.181323	0.230395	1.4458709	0.218175	2.142775	0.52121866	1.5778124	-2.7583683	0.515958	0.026871946	0.053626597	0.08388101	0.20357944	0.265244	1.6069183	0.274873	1.911172	0.44623756	29
48	[2, 0.0005, 8, 8, 32, 32, 7, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.4782597	1.4782597	1.4619579	0.41805002	0.028947292	1.4782597	-2.0083377	0.424646	0.028947292	0.049435463	0.06396147	0.17893253	0.221354	1.4619579	0.214121	1.976515	0.41805002	1.5673531	-1.9346427	0.576900	0.029247897	0.056434095	0.10918917	0.22855015	0.297023	1.5696326	0.303658	2.180509	0.2998673	4
49	[1, 0.0005, 12, 8, 24, 64, 5, 0.6, 1, 64, 0.1, 3, 3, True]	1.4740561	1.4740561	1.4568398	0.53752065	0.02490448	1.4740561	-1.9783576	0.427794	0.02490448	0.04938111	0.06575205	0.18031865	0.225217	1.4568398	0.217528	2.003990	0.53752065	1.5908239	-2.7148812	0.513600	0.026404476	0.05269482	0.08061946	0.20261271	0.263269	1.6231368	0.270997	1.873648	0.40091485	42
50	[2, 0.0005, 8, 8, 32, 64, 5, 0.4, 1, 64, 0.2, 1, 3, True]	1.4940283	1.4940283	1.4731965	0.5523365	0.024811864	1.4940283	-2.2251437	0.430910	0.024811864	0.04976863	0.06798797	0.18135571	0.228261	1.4731965	0.220588	2.037778	0.5523365	1.5965468	-2.8238676	0.511928	0.026208546	0.05227634	0.08067691	0.20125769	0.262198	1.63069	0.269935	1.874315	0.41998094	44
51	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.499626	1.499626	1.464946	0.523264	0.025180224	1.499626	-2.022177	0.424287	0.025180224	0.04920979	0.06859312	0.17943293	0.227767	1.464946	0.218845	2.046827	0.523264	1.6087472	-2.8956435	0.514935	0.026530622	0.052930135	0.081728294	0.20296097	0.264890	1.6325971	0.273244	1.886489	0.41500148	27
52	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.5076233	1.5076233	1.4773399	0.53177136	0.025229951	1.5076233	-2.1510298	0.437184	0.025229951	0.050338995	0.070472166	0.18419114	0.231301	1.4773399	0.223282	2.074673	0.53177136	1.5920618	-2.7321317	0.517597	0.026475387	0.05277306	0.08283739	0.20394236	0.265058	1.6236899	0.272671	1.899246	0.425028	42
53	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.5134931	1.5134931	1.498836	0.5358275	0.025536304	1.5134931	-2.0467577	0.433256	0.025536304	0.050301064	0.06706289	0.18214068	0.227625	1.498836	0.219955	2.023867	0.5358275	1.5858623	-2.8053591	0.508746	0.026271518	0.052440833	0.07816312	0.19985726	0.258708	1.618459	0.267279	1.844884	0.43093765	22
54	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.5034951	1.5034951	1.4987029	0.5492589	0.02516013	1.5034951	-2.124574	0.426776	0.02516013	0.04936051	0.06635294	0.18003614	0.226186	1.4987029	0.218094	2.013126	0.5492589	1.5733982	-2.7712545	0.504463	0.02614689	0.05219339	0.07663233	0.19858243	0.256561	1.61386	0.265362	1.826729	0.44834444	17
55	[2, 0.0005, 12, 8, 16, 64, 5, 0.5, 1, 30, 0.2, 0.1, 3, True]	1.4404017	1.4404017	1.4238898	0.52297837	0.02538862	1.4404017	-1.6234425	0.418915	0.02538862	0.048686925	0.06654394	0.17597175	0.220643	1.4238898	0.212999	2.016021	0.52297837	1.5923215	-2.690484	0.523672	0.027270474	0.054300986	0.08499413	0.20580818	0.269346	1.6156002	0.279357	1.923812	0.39576358	23
56	[2, 0.0005, 12, 12, 16, 64, 5, 0.5, 1, 30, 0.2, 0.1, 3, True]	1.4956639	1.4956639	1.4596336	0.54160786	0.02520131	1.4956639	-2.1813912	0.433693	0.02520131	0.050149944	0.071688734	0.18279248	0.230798	1.4596336	0.222432	2.092504	0.54160786	1.5692729	-2.609824	0.508892	0.026180785	0.05198913	0.079968244	0.20103577	0.261675	1.5893033	0.268183	1.866065	0.43797454	22
57	[2, 0.0003, 12, 8, 16, 64, 15, 0.5, 1, 30, 0.1, 0.1, 3, True]	1.4934527	1.4934527	1.489849	0.5573673	0.024989503	1.4934527	-1.9659735	0.422816	0.024989503	0.04906555	0.065988205	0.17847691	0.223339	1.489849	0.215342	2.007586	0.5573673	1.6023058	-2.8751304	0.512821	0.026333425	0.052573003	0.08096062	0.20217898	0.262417	1.6425909	0.268982	1.877608	0.4266867	58
58	[2, 0.0008, 12, 16, 16, 48, 9, 0.5, 1, 30, 0.2, 3, 2, True]	1.513495	1.513495	1.5040241	0.5494152	0.024909697	1.513495	-2.322071	0.433674	0.024909697	0.049979076	0.066310026	0.18171999	0.227185	1.5040241	0.220502	2.012475	0.5494152	1.5792518	-2.8320448	0.501176	0.025820108	0.051638134	0.07657788	0.19828144	0.256062	1.6220336	0.263075	1.826080	0.4549583	18
